captura,precio,agencia,aseos,zona,superficie,habitaciones,gastos,extras
2024-09-07,118000.0,Inmoejecutivos,2.0,Distrito Metropolitano de Quito,120.0,3.0,,"Estacionamiento, Balcón, Calefacción, Terraza, Seguridad, Gimnasio, Ascensor, Jardín, Gaspar"
2024-09-07,229000.0,Inmoejecutivos,2.0,Distrito Metropolitano de Quito,186.0,2.0,,"Estacionamiento, Vista, Patio, Terraza, Seguridad, Ascensor, Jardín"
2024-09-07,149600.0,Intramuros Constructora,3.0,Distrito Metropolitano de Quito,86.0,2.0,,"Estacionamiento, Jacuzzi, Patio, Terraza, Seguridad, Gimnasio, Piscina, Ascensor, Sauna, Jardín"
2024-09-06,124900.0,Plusvalia,3.0,"Cumbayá, Quito CUMBAYÁ",,,150.0,"terraza, terraza, terraza, jardín, Gimnasio, Piscina, Parque, espacio, gimnasio, terraza, estacionamiento"
2024-09-06,158359.0,Plusvalia,2.0,"La Carolina, Quito El Batán y Av. Eloy Alfaro",,,138.0,"balcón, parqueadero, ascensor, terraza, jacuzzi, sauna, gimnasio, vista, estacionamiento"
2024-09-06,67686.0,Plusvalia,3.0,"Ponceano, Quito Av. Real Audiencia entre Francisco Dalmau y Moises Luna Andrade.",,,103.0,"Gimnasio, Club, Club, Spa, piscina, Parqueadero, estacionamiento"
2024-09-06,90000.0,Plusvalia,2.0,"Cumbayá, Quito calle carchi",,,20.0,"Gimnasio, Spa, estacionamiento"
2024-09-06,102328.0,Plusvalia,1.0,"Quito Tenis, Quito Hidalgo de Pinto y Mariano Echeverría",,,200.0,"parque, espacio, balcón, Gimnasio, Club, Spa, estacionamiento"
2024-09-06,105000.0,Plusvalia,2.0,"Ponceano, Quito Francisco Dalmau y Calle 6",,3.0,,"vista, gimnasio, ascensor, parqueaderos, parqueadero, Ascensor, gimnasio, Terraza, Seguridad, Parqueaderos, estacionamiento"
2024-09-06,176300.0,Plusvalia,2.0,"Puembo, Quito TEOFILO CARRERA Y HERMANOS BRAUER",,,,"piscina, jacuzzi, estacionamiento, estacionamiento"
2024-09-06,80389.0,Plusvalia,2.0,"Cumbayá, Quito Giovanni Boccaccio",,,,"vista, vista, terraza, estacionamiento"
2024-09-06,78302.0,Plusvalia,3.0,"Norte de Quito, Quito Julio Arellano y Malvas",,,200.0,"Parques, Ascensor, Jacuzzi, Terraza, Espacio, gimnasio, Parqueadero, estacionamiento"
2024-09-06,186000.0,Plusvalia,3.0,"La Carolina, Quito Torre Ganté - Av. Portugal (La Carolina) - Centro Norte - Entrega Inmediata",157.0,,220.0,"balcón, espacio, Parque, Parque, Cines, Terraza, Vista, Jacuzzi, Sauna, Club, Space, Vista, Parqueaderos, Parqueaderos, ascensor, Domótica, Españoles, estacionamiento"
2024-09-06,234900.0,Plusvalia,2.0,"González Suárez, Quito Gonzàlez Suàrez",100.0,3.0,94.0,"Balcón, Balcón, vista, Balcón, Balcón, Balcón, Parqueaderos, Ascensores, Jacuzzi, Terraza, Gimnasio, estacionamiento"
2024-09-06,110000.0,Plusvalia,2.0,"Iñaquito Alto, Quito Iñaquito Alto S/N",140.0,2.0,65.0,"balcón, parqueadero, piscina, Gimnasio, estacionamiento"
2024-09-06,195000.0,Plusvalia,3.0,"Centro Norte, Quito Suecia",109.0,3.0,1.0,"terraza, jardín, parqueadero, estacionamiento"
2024-09-06,49300.0,Plusvalia,1.0,"Sur de Quito, Quito Ciudad Jardín",69.0,1.0,,"Jardín, espacio, Espacio, Parqueadero, Jardín, Jardín, seguridad, parque, parque, estacionamiento"
2024-09-06,135000.0,Plusvalia,2.0,"La Orellana, Quito Invierte en Torres JW Marriott Exclusividad Para ti",105.0,1.0,135.0,"parque, gimnasio, parqueadero-, terraza-, piscinaamenities, Gimnasio•Piscina, Spa•, Ascensor, cine, Terraza, espacio, estacionamiento"
2024-09-06,213855.0,Plusvalia,2.0,"Cumbayá, Quito Av. Miguel Ángel, La Primavera 1",94.0,2.0,98.0,"parque, piscina, terraza, jardín, balcón, jardín, parqueadero, balcón, estacionamiento"
2024-09-06,148000.0,Plusvalia,2.0,"Cumbayá, Quito CUMBAYA - LA PRIMAVERA 2",130.0,2.0,105.0,"parque, Balcón, parqueaderos|, Ascensor|, estacionamiento"
2024-09-06,194039.0,Plusvalia,2.0,"Centro Norte, Quito CALLE EL BATAN N34-41 Y ELOY ALFARO",90.0,3.0,60.0,"Parque, ascensor, estacionamiento, sauna, gimnasio, vista, terraza, espacioso, balcón, seguridad, estacionamiento"
2024-09-06,220000.0,Plusvalia,3.0,"La Carolina, Quito Shyris y suecia",265.0,2.0,85.0,"Domótica, Seguridad, piscinar, vista, terraza, Gimnasio, Sauna, Terraza, Parqueadero, vista, balcón, Parqueadero, estacionamiento"
2024-09-06,155000.0,Plusvalia,2.0,"La Coruña, Quito Av. Coruña y Ernesto Noboa",88.0,3.0,116.0,"balcón, parqueadero, espacioso, espacio, balcón, ascensor, estacionamiento"
2024-09-06,135000.0,Plusvalia,,"Bosmediano, Quito Bossano",128.0,2.0,,"vista, Parqueadero, Terraza, Gimnasio, Seguridad"
2024-09-06,125000.0,Plusvalia,,"Centro Norte, Quito Villalengua-Granda centeno",130.0,2.0,,"gimnasio, parqueo, -terraza, espacio, balcón, parqueadero"
2024-09-06,129000.0,Plusvalia,,"Monteserrín, Quito MONTESERRIN",97.0,3.0,,"ascensor, terraza, terraza, parqueadero, ascensor"
2024-09-06,75000.0,Plusvalia,,"La Kennedy, Quito Los pinos y Galo Plaza Lasso",83.0,3.0,,sin extra
2024-09-06,95000.0,Plusvalia,,"La Carolina, Quito Whymper y Diego de Almagro",104.0,2.0,,"espacio, parqueadero"
2024-09-06,112000.0,Plusvalia,,"La Coruña, Quito Vendo Deartamento 3 Habitaciones Sector La Coruña , Whymper",115.0,3.0,,parqueo
2024-09-06,89000.0,Plusvalia,,"Ponceano, Quito Moises Luna Andrade",156.0,2.0,,"terraza, parqueadero"
2024-09-06,98000.0,Plusvalia,,"Norte de Quito, Quito Eloy Alfaro - Sector Embajada Americana",148.0,3.0,,"seguridad, terraza, patio"
2024-09-06,148500.0,Plusvalia,,"Monteserrín, Quito Monteserrín",160.0,3.0,,"parqueadero, terraza, ascensor, parqueaderos, seguridad"
2024-09-06,145000.0,Plusvalia,,"Norte de Quito, Quito Monteserrin",,3.0,,"patio, parqueadero, seguridad, piscina, terraza, seguridad"
2024-09-06,117000.0,Plusvalia,4.0,"Centro Norte, Quito Tnte. Gonzalo Galo y Gonzalo Benitez",,,1.0,"Estacionamiento, Terrazas, gimnasio, estacionamiento"
2024-09-06,190410.0,Plusvalia,2.0,"Cumbayá, Quito QHGM+722, Quito 170184",,,,"vista, jardín, parqueadero, -piscina, -gimnasio, espacio, estacionamiento"
2024-09-06,66000.0,Plusvalia,3.0,"Mitad del Mundo, Quito Pomasqui",69.0,3.0,190.0,"patio, estacionamiento, estacionamiento, estacionamiento, Piscina, Piscina, estacionamiento"
2024-09-06,101661.0,Plusvalia,2.0,"Cumbayá, Quito Cumbaya",,,,"terraza, terraza, bbqgimnasiojacuzziárea, estacionamiento"
2024-09-06,71973.0,Plusvalia,3.0,"El Bosque , Quito José Paredes y Otero sector Entre el Bosque y  el pinar",,,40.0,"patio, seguridad, espacio, terraza, vista, -gimnasio, estacionamiento"
2024-09-06,57200.0,Plusvalia,2.0,"Quitumbe, Quito Quitumbe Ñan",,,99.0,"parques, seguridad, Club, gimnasio, estacionamiento, estacionamiento"
2024-09-06,52000.0,Plusvalia,4.0,"Pomasqui, Quito Huiragchuros y Razu Razu",,,250.0,"club, patio, terraza, club, Piscina, club, gimnasio, estacionamiento, estacionamiento"
